post_title,post_name,post_date,post_status,post_type,post_category,tags_input,post_content,original_url,featured_image
Samotics welcomes Jeroen van der Veer as an advisor,samotics-welcomes-jeroen-van-der-veer-as-an-advisor,"Tue, 16 Mar 2021 11:35:45 +0000",draft,post,News,[],"<strong>Leiden, The Netherlands — March 16, 2021 —</strong> Samotics, a leading provider of AI-driven predictive analytics, today welcomes Jeroen van der Veer as an advisor. In this role, Van der Veer will advise on Samotics’ strategy and operations utilizing his experience in leading global flagship organizations.

Van der Veer is currently the chairman of Philips and the former chief executive officer of Shell, following a tenure of 42 years with the multinational oil and gas company. His expertise within the technology and energy sectors will be used to steer Samotics through a pivotal stage of rapid growth.

“Samotics has a clear mission to solve the problem of unplanned downtime for rotating equipment, which gives it limitless potential to scale across numerous industries,” said Van der Veer. “In six short years, this has enabled Samotics to work as a trusted partner with customers internationally. It is an exciting time to join as an advisor and I look forward to working closely with the team as they go from strength to strength.”

Earlier this month, Samotics announced it has received new investment, signifying high stakeholder confidence in its future business strategy and growth targets.

“Jeroen has a remarkable legacy as a business leader and we are delighted that he has joined us as an advisor,” said Jasper Hoogeweegen, CEO at Samotics. “We have evolved quickly into a global enterprise with established credentials working with industry-leading organizations. We have ambitious plans for the future. Jeroen’s experience will help shape the direction of Samotics as we continue to help more customers eliminate downtime, lower risk, decrease maintenance costs and reduce energy waste.”",https://samotics.com/news/samotics-welcomes-jeroen-van-der-veer-as-an-advisor,0
London Stansted Airport selects Samotics to increase reliability of critical baggage systems,london-stansted-airport-and-samotics-collaboration-announcement,"Tue, 13 Jun 2023 12:41:25 +0000",draft,post,News,[],"<strong>Leiden, The Netherlands, 13 June 2023</strong> — Samotics, a leading provider of real-time actionable insights to eliminate industrial energy waste and unplanned downtime, has been selected by <a href=""https://www.stanstedairport.com/about-us/london-stansted-airport-and-mag/"">London Stansted Airport</a> to help reduce airport delays for its 27+ million annual travelers by improving the reliability of critical baggage handling equipment.

One of the main barriers to reducing delays at airports is baggage handling equipment failures. During peak seasons, baggage handling functions run at 150% capacity, leaving no room for downtime. When equipment unexpectedly malfunctions, it causes significant delays to boarding and reclaiming luggage.

To overcome this challenge, London Stansted Airport selected Samotics’ SAM4 Health solution to increase reliability and meet industry uptime standards. Until now, 80% of baggage handling downtime at London Stansted Airport was due to mechanical faults leading to the failure of conveyors. SAM4 Health addresses this by delivering continuous insights into the health and performance of critical assets. This empowers maintenance teams to take proactive measures against developing faults and prevent unexpected breakdowns. The system’s superior detection performance across both electrical and mechanical faults will enable London Stansted Airport to identify and prevent over 90% of potential faults up to five months in advance.

Samotics’ SAM4 technology enables the remote capture of performance data by using a technique called electrical signature analysis (ESA). ESA analyzes the current and voltage signals of electric-driven motor systems using sensors installed in the motor control cabinet, rather than on the asset itself. This means that SAM4 is quick to install and does not incur an upfront downtime, enabling rapid deployment at minimal cost.

Paul Marshall, Reliability Engineer at London Stansted Airport said: “At London Stansted Airport, we are constantly striving to enhance the passenger experience. By leveraging Samotics' SAM4 system, which has already been proven at a leading international airport, we can increase the reliability of our baggage handling system to significantly reduce delays and impact on travelers.”

Jasper Hoogeweegen, CEO at Samotics said: “Our technology helps airports address a fundamental challenge by identifying and resolving developing faults before they happen. With accurate health and performance data, operational teams can schedule maintenance at their convenience rather than reacting to an unforeseen fault. With less downtime, passengers and airlines benefit from reduced delays and a smoother travelling experience. We look forward to supporting London Stansted Airport to harness the potential of proactive maintenance.”

Samotics’ SAM4 Health solution will be rolled out to dozens of baggage handling systems located across arrival and departure halls.",https://samotics.com/news/london-stansted-airport-and-samotics-collaboration-announcement,0
Vitens improves pump energy efficiency together with Samotics,vitens-improves-pump-efficiency-with-samotics,"Tue, 11 Oct 2022 12:23:06 +0000",draft,post,News,[],"<strong>Leiden, The Netherlands, 11 October 2022 </strong>— Vitens, the largest drinking water company in the Netherlands, has successfully realized savings by improving critical pump energy efficiency using SAM4 Energy in a proof-of-value pilot. This demonstrated how the energy efficiency of existing equipment can be significantly increased using smart analytics. The achieved results contribute to Vitens’ commitment to securing a robust and sustainable drinking water supply by 2030, which is reflected in its ‘Every Drop Sustainable’ strategy.

<p>To achieve its 2030 goal, Vitens has an overarching innovation program (SLIMM) that incorporates new data solutions to improve operational performance and resilience of its industrial equipment. For that reason, Vitens invests in an array of in-house innovations in addition to a select number of external solutions that can integrate seamlessly into its operating environment. As part of this program, Samotics was selected to undertake a proof-of-value pilot with Vitens to demonstrate how energy efficiency analytics can be utilized to achieve pump energy efficiency.</p>

<p>Samotics' SAM4 Energy system was used to continuously monitor all of the industrial pumps at a drinking water production and distribution facility, analyzing their performance and identifying where electricity consumption, cost and efficiency losses were largest and why. By performing this pilot, the efficiency of a Vitens pump station was improved by more than 7% with an associated reduction in energy consumption, costs and equivalent emissions and whilst meeting the same levels of demand. This was achieved by implementing a couple of simple changes to operational settings, based on the recommendations generated by the SAM4 Energy system, meaning that no additional investment was needed by Vitens to improve efficiency of the industrial equipment.</p>

<p>Rein Wuestman, Process Engineer of the Water Expertise Center at Vitens said: “With water production coming under increasing pressure, we are committed to creating a sustainable future. Digitizing and automating water network management processes is critical to this approach. Our partnership with Samotics has clearly demonstrated how optimizing pump operations through continuous insights and smart data can immediately reduce energy consumption, costs and emissions – with minimal investment and implementation costs.”</p>

<p>Jasper Hoogeweegen, CEO of Samotics said: “We are excited to be supporting Vitens’ ‘Every Drop Sustainable’ strategy. Pumps account for the vast majority of electricity consumption in the water industry. That’s why, Samotics is helping Vitens by providing simple and automated actionable insights that boost efficiency and reduce energy waste of their pumps. We look forward to the continued expansion of our collaboration.”</p>

<p>Following the success of the pilot in improving the performance and energy efficiency of critical pumps and integrating with existing data systems, Vitens is scaling the number of assets monitored by SAM4 Energy.</p>

<p>Dutch technology company Samotics is a leading provider of real-time actionable insights to eliminate industrial energy waste. Its SAM4 Energy solution is the latest innovation within the SAM4 product suite which also includes SAM4 Health – Samotics’ AI-based asset health monitoring system for AC motors and rotating equipment. SAM4 Energy can help users realize energy savings of up to 15% and cut CO2 emissions.</p>",https://samotics.com/news/vitens-improves-pump-efficiency-with-samotics,0
New incident page design for improved usability,new-incident-page-design-for-improved-usability,"Tue, 08 Jul 2025 10:39:50 +0000",draft,post,News,[],"<p>Incidents need to be understood at a glance. That is why we have rebuilt the incident page in SAM4 – so every user sees exactly what they need, the moment they open it.  With the new layout, critical information is easier to spot, triage is faster, and collaboration runs smoother. <h2>🔍 Built for clarity and speed</h2></p>

<p>We have focused on the changes that matter most to daily users:</p>

<p>- <strong>Clear status and severity</strong> at the top of each page   	- <strong>Incident descriptions</strong> are shown clearly and consistently   	- <strong>Incident activity timelines</strong> now run chronologically, top to bottom.   	- <strong>Simplified layout</strong> that removes unnecessary detail and helps teams understand the situation faster</p>

<img src=""https://samotics.com/wp-content/uploads/2025/07/image-1.png"" alt="""" />

Together, these changes make it easier to stay focused on what matters most: resolving issues quickly and confidently.
<h2>💬 Easier to follow, easier to act</h2>

<p>New traffic light changes are now logged as part of the incident timeline, so key transitions are never missed.  We have also simplified the comment system:</p>

<p>- New comments no longer start new threads   	- Replies have been removed to keep timelines clean and easy to follow</p>

<p>It is a straightforward view, designed to support real-time decision-making.  <img src=""https://samotics.com/wp-content/uploads/2025/07/image5.jpg"" alt="""" /> <h2>🚀 Available now</h2></p>

<p>The redesigned incident page is now live for all SAM4 users. It is already helping teams move faster and act with greater confidence.  Want to learn more? Contact your customer success manager or <a href=""https://samotics.com/demo"">book a demo</a> with our team.</p>",https://samotics.com/news/new-incident-page-design-for-improved-usability,2
"Announcing the integration of SAM4, Samotics’ Electrical Signature Analysis capabilities (ESA), into ABB’s variable frequency drives",announcing-the-integration-of-sam4-into-abbs-variable-frequency-drives,"Tue, 08 Apr 2025 14:36:47 +0000",draft,post,News,[],"<p>ABB now offers the option of integrating our SAM4 Electrical Signature Analysis (ESA) capabilities into their ACS880 variable frequency drives. This development, expected to be globally available in November 2025, makes condition monitoring simpler and more scalable than ever.</p>

<p>/<em> target all YouTube iframes on the page </em>/ iframe {   width: 100%;          /<em> fill the column </em>/   aspect-ratio: 16 / 9; /<em> keep 16:9 </em>/   height: auto;         /<em> let the browser calculate the height </em>/ }</p>

<p>Industrial teams want to protect and optimize their motor-driven assets. But enabling remote condition monitoring often means installing extra sensors, running cables, and scheduling downtime. These barriers force many manufacturers to delay or skip monitoring entirely, increasing the risk of unplanned shutdowns and business impacts.</p>

<h2>Monitoring by using the drive as the sensor</h2>

<p>Together with ABB, we’ve explored how to deliver ESA monitoring capabilities for the entire powertrain directly from the drive. This sets a baseline for applications like pumps and fans and gives a better view on the health status of the powertrain. ESA, when integrated in the drive, requires no additional installation work, and no disruption to industrial processes.</p>

<p>This meant rethinking how a standalone ESA solution works at a fundamental level. We looked at how to extract the right data directly from the drive, process it reliably, and deliver the same actionable insights our ESA is known for. ABB’s new control unit (UCU) that’s used on the ACS880 drive, currently being rolled out, enabled this breakthrough in data generation from the drive. While ABB drives are capable of monitoring their own health and providing condition-based maintenance recommendations, the integration of ESA enables monitoring of the connected rotating equipment from the drive as well. This unique set-up offers complete visibility into both the drive and the equipment it controls (like pumps, fans, and conveyors). After thorough testing, refinement, and successful piloting, the solution is now ready to be rolled out to early adopters in selected countries.</p>

<p>Jasper Hoogeweegen, CEO of Samotics, said, “We believe this is the future of condition monitoring: Built-in, effortless, and scalable. By embedding Samotics’ ESA capabilities  into ABB’s variable frequency drives, we’re empowering industrial teams to unlock the value of their data and take control of asset health.”</p>

<p>Oswald Deuchar, Global Head of Modernization at ABB Motion Services, added, “Industrial players are increasingly shifting from reactive maintenance to data-driven approaches. By working closely with Samotics and combining our companies' analytics capabilities in our drives, customer data-driven decision making will be enhanced, for added impact and higher asset performance.”</p>

<h2>No trade-off on insight or accuracy</h2>

<p>You may wonder if a drive-based solution can truly deliver the same depth of analysis as a standalone ESA solution. The answer is yes. The integrated version uses the exact same analytics engine as the standalone system, drawing directly on high-quality electrical data from the drive.</p>

<p>The system detects anomalous behavior in motors (e.g. rotor bar issues, bearing faults, misalignment and unbalance), gearboxes, belts, and couplings, as well as in driven equipment (e.g. cavitation in pumps), and process-related inefficiencies.</p>

<p>So, while the setup is much easier to deploy, the insights are just as powerful.</p>

<h2>How this changes daily operations</h2>

<p>With ESA now embedded inside the ABB drive, teams can access continuous, remote monitoring data with integrated services from the manufacturer (ABB) itself. ESA sets a good baseline for applications like fans, pumps, and conveyors, all from within the drive. When more complex applications like compressors or crushers need to be monitored, the ESA baseline needs to be enriched with other monitoring techniques, such as vibration. We expect to gain insights on an even wider range of assets and faults by combining ESA with vibration analysis. The system is built to work in a range of industrial conditions, and is particularly beneficial in dusty, wet, submerged, or hostile environments.</p>

<h2>What’s next</h2>

<p>Today we have introduced the concept to a limited set of countries. The global launch is expected in the last months of 2025. In the meantime, customers can already pre-order the integration of ESA into ABB’s ACS880 variable frequency drives. This will secure availability and installation before the end of the year.</p>

<p>Beyond the ACS880, the concept is also available on modernized (upgrade/retrofit) ACS600 and ACS800 drives.</p>

<h2>Join our limited early adopters list</h2>

<p>We’re now opening up a limited early adopters program for industrial teams who want to be first in line to use the integrated solution in the field. This group will get priority access to the technology after the official launch in November. This means you will be up and running before the end of the year.</p>

<p>Spots are limited, so if you're interested in joining the early adopters list, please leave your details via the form below.</p>

<h3>Sign up for the early adopters list below</h3>",https://samotics.com/news/announcing-the-integration-of-sam4-into-abbs-variable-frequency-drives,0
Samotics reduces industrial costs and CO2 emissions with new energy efficiency solution,samotics-reduces-industrial-costs-and-co2-emissions-with-new-energy-efficiency-solution,"Tue, 07 Jun 2022 12:12:22 +0000",draft,post,News,[],"<strong>Leiden, The Netherlands, 7 June 2022</strong> — Samotics – a leading provider of solutions to eliminate industrial energy waste and unplanned downtime – has launched a new energy efficiency product to market: SAM4 Energy. By providing detailed performance and efficiency insights across industrial assets, Samotics’ customers can now realize energy savings of 10-15% and cut CO2 emissions. This is achieved with minimal investment and implementation costs, has short lead times, and benefits are generated quickly.

“Heavy industry is the world’s largest energy consumer, with most of this energy usage associated with equipment driven by electric motors. Yet, between 20 to 40% of the electricity used by these motors is wasted due to operational inefficiencies, process-machine mismatches, and developing damage,” said Jasper Hoogeweegen, CEO at Samotics. “With sustainability high on the agenda for organizations across the industrial sector, improving electrical efficiency should be a key pillar in all sustainability strategies worldwide.”

SAM4 Energy is the latest innovation within the SAM4 product suite which also includes SAM4 Health – Samotics’ AI-based asset health monitoring system for AC motors and rotating equipment.

This revolutionary end-to-end solution goes beyond traditional power logging and energy reporting to acquire data, identify energy waste, provide concrete recommendations, and demonstrate return on investment. It is a continuous monitoring system which characterizes the performance of industrial assets, identifying where electricity consumption, cost and efficiency losses are largest and why.

Armed with these insights into electrical consumption and performance, SAM4 Energy provides industrial companies access to a 24/7 energy audit for the first time ever. It generates concrete and actionable advice on how to reduce electrical inefficiencies and, once advice is implemented, SAM4 Energy tracks subsequent energy savings and carbon offset to demonstrate return on investment. The energy efficiency platform provides customers with a visually interactive reporting tool enabling real-time insight into the performance of assets across a variety of performance metrics.

“Heavy industries are producing hundreds of millions of data points everyday across critical assets. For years, manually harnessing the potential of this data has been too costly and complex to achieve. With the launch of SAM4 Energy, we are proud to be delivering an accessible solution to the market which provides greater insights and actual solutions to electrical inefficiencies. This promises to significantly reduce global emissions,” adds Hoogeweegen.

Samotics’ has launched SAM4 Energy to market following successful industrial customer trials. One trial deployment identified a foul pump at a sewage pump station that was operating at a very low efficiency caused by low flow operation. Following automatically-generated advice to open a partially-closed discharge valve, yearly electricity savings of 40-55% were achieved for that single pump which equated to €15k and 30 tonnes of CO2.

The SAM4 Energy solution strengthens Samotics’ existing suite of tools for solving industrial issues related to energy efficiency and asset health. SAM4 Energy is now ready to be deployed at scale in the field, providing a cost-effective means for every company to achieve greater sustainability and have a positive impact in reducing energy consumption and costs. The ease and speed of implementation provides companies with a clear means to start addressing these large challenges today.",https://samotics.com/news/samotics-reduces-industrial-costs-and-co2-emissions-with-new-energy-efficiency-solution,0
Eviden announces a joint asset performance management solution with Samotics for energy & utilities industries,eviden-announces-a-joint-asset-performance-management-solution-with-samotics-for-energy-utilities-industries,"Tue, 05 Dec 2023 08:00:32 +0000",draft,post,News,[],"<strong>Paris, France and Leiden, The Netherlands – December 5, 2023</strong> – <a href=""https://eviden.com/"">Eviden</a>, the <a href=""https://atos.net/en/"">Atos</a> business, leading in digital, cloud, big data and security, and Samotics, a leading provider of real-time actionable insights to eliminate industrial energy waste and unplanned downtime, today announce a new strategic partnership. The collaboration will bring a comprehensive remote asset monitoring solution to global industrial companies and deliver advanced data analytics to drive energy-efficient operations and reduced energy waste.

Through this partnership, Eviden’s Intelligent Asset Management portfolio will be enhanced with Samotics’ predictive maintenance system SAM4, bringing to market a highly accurate, easily scalable, cost-effective, and quick to implement end-to-end remote monitoring system for industries such as water and wastewater and oil and gas, among others. With its non-intrusive sensors that are installed in the safety of a motor control cabinet, the SAM4 solution is ideally suited for hard-to-reach operational environments where the equipment is either hard-to-access (e.g. borehole pumps in the water) or is operated in harsh conditions (e.g. ATEX zones).

The solution will provide advanced and automated data analytics to detect mechanical degradation, misalignment, electrical faults and other equipment failures in advance, as well as provide real-time performance insights to spot inefficient use of equipment. These concrete and actionable insights will enable companies to eliminate unplanned downtime, optimize performance, increase energy efficiency and reduce waste. With this information, the customers will be able to reduce operational and maintenance costs as well as minimize overall environmental impact.
> <strong>Rita Marissen, Head of Industry Resources & Services, Northern Europe & Asia-Pacific for Eviden, at Atos Group</strong> said “The industry sectors, in particular energy & utilities, are characterized by legacy assets in need of upgrade, modernization, and digitalization due to societal, regulatory, and investor pressures. Monitoring and analysis of these critical assets is essential information to be able to optimize and improve performance. With this partnership we have boosted our portfolio with new asset performance management capabilities, driving customers’ operational resilience, energy efficiency as well as simultaneously reducing energy costs and their carbon footprint.”
> 
> <strong>Jasper Hoogeweegen, CEO of Samotics</strong> said “Our SAM4 technology is delivering significant value to global industrial companies, helping to address the challenges with unplanned downtime and energy waste. With our joint commitment to help customers improve the performance and efficiency of their critical assets, we’re excited to be partnering with Eviden to bring our proven technology to more organizations around the world and help them eliminate unplanned downtime, significantly reduce energy waste and optimize operations.

<p>Eviden will deliver the complete Asset Performance Management solution, including implementation, integration and cybersecurity services. Samotics will provide expert fault detection and performance analysis services that offer customers real-time actionable insights into the health and performance of their industrial assets. ####</p>

<h4>About Eviden</h4>

<p>Eviden is a next-gen technology leader in data-driven, trusted and sustainable digital transformation with a strong portfolio of patented technologies. With worldwide leading positions in advanced computing, security, AI, cloud and digital platforms, it provides deep expertise for all industries in more than 47 countries. Bringing together 53,000 world-class talents, Eviden expands the possibilities of data and technology across the digital continuum, now and for generations to come. Eviden is an Atos Group company with an annual revenue of c. € 5 billion. <h4>About Atos</h4></p>

<p>Atos is a global leader in digital transformation with c. 105,000 employees and annual revenue of c. € 11 billion. European number one in cybersecurity, cloud and high-performance computing, the Group provides tailored end-to-end solutions for all industries in 69 countries. A pioneer in decarbonization services and products, Atos is committed to a secure and decarbonized digital for its clients. Atos is a SE (Societas Europaea) and listed on Euronext Paris.  The <a href=""https://atos.net/en/raison-detre"">purpose of Atos</a> is to help design the future of the information space. Its expertise and services support the development of knowledge, education and research in a multicultural approach and contribute to the development of scientific and technological excellence. Across the world, the Group enables its customers and employees, and members of societies at large to live, work and develop sustainably, in a safe and secure information space. <h4>About Samotics</h4></p>

<p>Samotics is a leading provider of real-time actionable insights to optimize performance and energy efficiency of AC motors and rotating equipment. An expert team of data scientists, software developers and technical specialists has developed an AI-driven platform that supports global industrial companies in reducing energy waste and unplanned downtime. Our customer base includes sector-leading players such as Anglian Water, ArcelorMittal, Nobian, Evonik and TotalEnergies.</p>",https://samotics.com/news/eviden-announces-a-joint-asset-performance-management-solution-with-samotics-for-energy-utilities-industries,0
Samotics & Partners in Performance partner to scale the global adoption of condition monitoring and energy efficiency solutions,samotics-partners-in-performance-collaboration-announcement-2,"Tue, 04 Jul 2023 12:43:19 +0000",draft,post,News,[],"<strong>Leiden, The Netherlands, 4 July 2023</strong> — Samotics, a leading provider of real-time actionable insights to eliminate industrial energy waste and unplanned downtime, has partnered with <a href=""https://www.pip.global/en/about-us/"">Partners in Performance</a>, a leading global player in driving operational excellence for complex organizations, to deliver enhanced condition monitoring and energy efficiency services to key global industries, enabling digital transformation and improved performance.

As Samotics expands its global operations and helps more organizations access the benefits of predictive maintenance, this partnership with Partners in Performance marks a significant milestone for its growth strategy. The focus of this partnership will be delivering asset health and energy efficiency insights to a broader audience of industrial players. Its initial target industries are oil and gas and water and wastewater sectors in key global markets, including the US and Australia.

Samotics’ SAM4 technology supports global industrial players to monitor the performance and efficiency of critical assets. SAM4 is a proven, scalable solution, already helping over 100 customers in five continents to make data-driven decisions and improve performance. It solves a significant challenge for industrial organizations, including those in water, steel and chemicals, by enabling the remote capture of high-quality performance and efficiency data for assets in hard-to-reach, submerged and hazardous locations. This makes it an attractive offering for Partners in Performance industrial client base, who are looking for an end-to-end solution to support their digital transformation and energy transition efforts.

Peter Mann, Director at Partners in Performance said, ""Our partnership with Samotics will allow us to help our global clients improve asset performance while accelerating their energy transitions since they have a safe and effective way of identifying energy inefficient equipment. With their machine learning algorithms in our arsenal, we can help increase operational efficiency, reduce maintenance costs, all the while creating safer working environments for people by identifying potential issues before they can become a hazard.""

Jasper Hoogeweegen, CEO at Samotics said: “Our SAM4 technology is already delivering significant value to industries, helping to identify developing faults and meet carbon reduction goals. With our joint commitment to solving reliability and energy efficiency challenges, Partners in Performance is a great partner to help scale global adoption of our proven technology and bring these benefits to more organizations around the world.”

The SAM4 system offers two unique solutions. SAM4 Health, the company’s flagship offering, analyzes current and voltage signals of electric-driven equipment such as motors and pumps to detect electrical and mechanical faults. Using electrical signature analysis (ESA) and machine learning, SAM4 Health offers superior fault detection accuracy, detecting over 90% of failures up to five months in advance. SAM4 Energy, the world's first continuous monitoring system for industrial equipment efficiency, provides detailed performance and efficiency insights to identify where energy consumption, cost and efficiency losses are largest and implement data-driven recommendations.",https://samotics.com/news/samotics-partners-in-performance-collaboration-announcement,0
Anglian Water awards Samotics five-year deal to support operational resilience and energy efficiency,anglian-water-awards-samotics-5-year-deal,"Tue, 04 Apr 2023 12:37:01 +0000",draft,post,News,[],"<strong>Leiden, The Netherlands, 4 April 2023</strong> — Samotics, a leading provider of real-time actionable insights to eliminate industrial energy waste and unplanned downtime, has been awarded a five-year contract by <a href=""https://www.anglianwater.co.uk/"">Anglian Water</a> to help it deliver an extensive proactive maintenance program and meet 2030 Net Zero targets. Anglian Water selected Samotics as its ESA technology and services CBM supplier through to 2028.

The award is part of Anglian Water's strategy to shift from a time-based reactive maintenance regime to a condition-based, proactive maintenance approach. To that end, a tender was issued for two different condition-based monitoring (CBM) technologies: ESA and vibration. ESA is the company’s technology of choice for its fleet of submerged assets, whose location makes it hard to acquire high-quality, high-frequency data. Because the electrical data can be captured remotely in the motor control center, there is no need to install sensors on or even near the equipment.

Anglian Water’s tender focused on optimizing its clean water and water recycling networks with the support of CBM technologies. These were identified to improve Anglian Water’s maintenance regime by delivering key insights into the health and performance of rotating and pumping assets, enabling it to take proactive measures against developing faults. Samotics will use a range of tools to deliver this result, including its SAM4 Health’s automated clogging detection feature, which pinpoints early signs of clogging to prevent pollution incidents and damage to pumps.

In addition to asset monitoring, Anglian Water will benefit from energy efficiency insights delivered by Samotics’ SAM4 Energy solution. This enhanced functionality will help the company achieve net zero operational emissions by 2030. Through detailed performance and efficiency analysis, Anglian Water can identify where electricity consumption, cost and efficiency losses are the largest and implement data-driven recommendations. Utilizing these insights to optimize operational processes can reduce energy waste and CO2 emissions by up to 15%.

After a competitive tender process, Anglian Water selected Samotics as its ESA technology and services supplier through 2028. Samotics’ SAM4 Health solution will monitor a fleet of submerged equipment, in addition to other critical rotating assets, across more than 100 clean water and water recycling sites, facilitating services to 6+ million customers.

Alex Bailey, Strategy Manager for Water Supply at Anglian Water said: “Anglian Water are pleased to have selected Samotics to partner with us under our CBM framework. They offer high-quality ESA technology backed by strong analytics and robust alerting functionality, which allow us to remotely monitor and improve the health and energy efficiency of our critical submerged assets. The release of new products and continuous improvement of others demonstrates their genuine commitment to meeting customers' needs and highlights their agile, innovative nature–which is something we really value.

We have also experienced first-rate support from Samotics throughout the trial and deployment phase of the programme. They truly share our aspiration to transform our approach to asset health and maintenance through condition-based monitoring. By partnering with Samotics on a larger scale, we are looking forward to continuing to deliver on our ambitious condition-based monitoring programme and drive tangible improvements in the health and energy efficiency of our critical assets.”

Jasper Hoogeweegen, CEO at Samotics said: “We have seen ESA delivering clear, tangible results across the water industry as adoption has grown. By unlocking the full spectrum of asset health and performance data, organizations implementing ESA are improving their operational resilience and energy efficiency in tandem. We’re very pleased to be continuing our two-year collaboration with Anglian Water on a greater scale to deliver more vital insights to support their business in optimizing asset base and reaching net zero targets.”",https://samotics.com/news/anglian-water-awards-samotics-5-year-deal,0
thyssenkrupp selects Samotics to increase reliability of its steel manufacturing process,thyssenkrupp-samotics-collaboration-announcement,"Tue, 03 Oct 2023 12:45:43 +0000",draft,post,News,[],"<strong>Leiden, The Netherlands, 3 October 2023</strong> — Samotics, a leading provider of real-time actionable insights to eliminate unplanned downtime and energy waste, has been selected by thyssenkrupp to monitor the condition and performance of its hot rolling mill in Duisburg.

thyssenkrupp Steel installed Samotics’ SAM4 Health solution as part of a proof-of-value pilot, initially monitoring 100 critical conveyor rolls at its Duisburg plant in Germany—Europe’s biggest steelmaking site. In the first few months of the pilot, the system detected multiple critical faults at an early stage including mechanical unbalance and bearing degradation. This enabled thyssenkrupp Steel to replace the affected machines before they failed, preventing significant unplanned downtime and its associated costs. After the initial success of the pilot project, thyssenkrupp extended the use of the SAM4 Health system and integrated it into its maintenance process.

Because the rolls operate in an extreme environment, ensuring reliable operation is a challenging task: the heat and cooling water accelerate wear and tear, and performing regular inspections or installing sensors directly on the equipment is nearly impossible.

To overcome this challenge, thyssenkrupp Steel selected Samotics’ SAM4 Health solution to monitor its hot rolling mill. SAM4 Health delivers continuous insight into the health and performance of the rolling mill. This empowers maintenance teams to take proactive measures against developing faults and prevent unexpected breakdowns. Continuous monitoring also enables teams to detect and address root causes that might lead to future degradation, leading to extended equipment lifetime and better performance. This way equipment runs more efficiently and saves energy.

Samotics’ SAM4 technology achieves this by using a technique called electrical signature analysis (ESA). ESA analyzes current and voltage data of electric-driven motor systems using sensors installed in the motor control cabinet, rather than on the asset itself. This enables continuous monitoring of assets operating in extreme temperatures, hard-to-reach places   and ATEX zones.

Christian Weiß, Lead Engineer HTM1 at thyssenkrupp Steel said: “Industrial analytics underpin our mission to improve delivery performance and reduce energy waste. The capability of Samotics’ SAM4 system to operate effectively in extreme environments made it the obvious choice to help increase the reliability and efficiency of our hot rolling mills. We look forward to continuing our collaboration with Samotics and continuing to improve our service to our clients”.

Simon Jagers, Samotics’ founder said: “thyssenkrupp’s commitment to the digitalization and automation of the steelmaking process promises environmental, safety and commercial benefits. Our technology helps thyssenkrupp Steel address a fundamental challenge by identifying and resolving developing faults before they happen. With accurate health and performance data, maintenance teams can schedule maintenance at their convenience rather than reacting to an unforeseen fault. We’re delighted to join them on the journey toward creating a smarter, safer and more sustainable future for steel production.”

 
<h3>About Samotics</h3>

<p>Samotics is a leading provider of real-time actionable insights to optimize performance and energy efficiency of AC motors and rotating equipment. An expert team of data scientists, software developers and technical specialists has developed an AI-driven platform that supports global industrial companies in reducing energy waste and unplanned downtime. Our customer base includes sector-leading players such as Schiphol Airport, Anglian Water, Yorkshire Water, Nobian and TotalEnergies. <h3>About thyssenkrupp Steel Europe</h3></p>

<p>thyssenkrupp Steel is one of the leading suppliers of high-grade flat steel and stands for innovations in steel and high-quality products for demanding applications. Steel has a good 26,000 employees and produces about 11 million tonnes of crude steel per year – making it Germany’s largest flat steel manufacturer. Its capabilities range from custom material solutions to material-related services.</p>",https://samotics.com/news/thyssenkrupp-samotics-collaboration-announcement,0
